alacritty 0.15.1-1
amd-ucode 20250508.788aadc8-2
base 3-2
base-devel 1-2
bspwm 0.9.10-4
chezmoi 2.62.6-1
deadbeef 1.10.0-1
deadbeef-mpris2-plugin 1.16-1
dunst 1.12.2-1
eza 0.21.4-1
feh 3.10.3-1
git 2.49.0-2
less 1:668-1
lib32-mesa 1:25.1.3-3
lib32-vulkan-radeon 1:25.1.3-3
librewolf-bin 1:139.0.1_1-1
linux-firmware 20250508.788aadc8-2
linux-zen 6.15.1.zen1-2
maim 5.8.0-3
mesa 1:25.1.3-3
noto-fonts 1:2025.06.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.047-1
openssh 10.0p1-3
paru 2.0.4-1
paru-debug 2.0.4-1
picom 12.5-3
pipewire 1:1.4.5-1
pipewire-alsa 1:1.4.5-1
pipewire-jack 1:1.4.5-1
pipewire-pulse 1:1.4.5-1
playerctl 2.4.1-4
polybar 3.7.2-2
rtkit 0.13-3
steam 1.0.0.82-2
sudo 1.9.16.p2-2
sxhkd 0.6.2-4
ttf-iosevka-nerd 3.4.0-1
vesktop-bin 1.5.6-3
vscodium-bin 1.100.33714-1
vulkan-radeon 1:25.1.3-3
wireplumber 0.5.10-1
xclip 0.13-6
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xf86-video-amdgpu 23.0.0-2
xorg-server 21.1.16-1
xorg-xinit 1.4.4-1
xorg-xset 1.2.5-2
zsh 5.9-5
